,term,entity_id,text_1,text_2,text_3,text_4,text_5
213,dwergen,Q67201443,Het zwaard van de dwergen,,['aflevering van Wickie de Viking'],['aflevering van televisieserie'],[]
214,dwergen,Q11831,Sneeuwwitje,['Sneeuwwitje en de 7 dwergen'],['sprookje'],['literair werk'],[]
215,dwergen,Q3217626,Het huis met de dwergen,,['hoorspel uit Nederland'],['hoorspel'],[]
216,dwergen,Q2739228,Sneeuwwitje,,personage uit de Disneyfilm Sneeuwwitje en de zeven dwergen,"['fictief mens', 'animatiepersonage']",[]
217,eerste wereld,Q876830,eerste wereld,"['1e wereld', 'eerste-wereldlanden', 'kapitalistische wereld']",,"['classificatiesysteem', 'groep']",[]
218,eskimo,Q131242,eskimo's,['Eskimo'],"['inheemse bevolkingsgroepen in Groenland, Canada, Alaska en Oost-Siberië']","['volk', 'etnische groep']",['volk']
220,eskimo,Q2659059,Paleo-Eskimo's,,['Inheems volk van de Arctische regio'],"['volk', 'beschaving']",[]
221,eskimo,Q189975,Inuit,"['Inuït', 'Inuk']",naam waarmee de Eskimo's van Groenland en Canada zichzelf aanduiden,"['etnische groep', 'volk']","[""eskimo's""]"
222,eskimo,Q4532729,eskimonologie,['inuitologie'],"Wetenschap van de taal, literatuur en cultuur van de Eskimo (Inuit)",['regiostudies'],[]
223,eskimo,Q100342131,"Tiderida, van Eskimo tot Groenlander",,['Tentoonstelling uit 1971'],"['tentoonstelling', 'tijdelijke tentoonstelling']",[]
224,eskimo,Q51512437,Nunivak Island Eskimo,,['publicatie'],['publicatie'],[]
225,eskimo,Q19365020,Eskimo Hill,,['berg in Verenigde Staten van Amerika'],['berg'],[]
226,eskimo,Q20736,Eskimo,,['taal'],['taalfamilie'],[]
227,eskimo,Q8421920,Categorie:Eskimo-Aleoetische taalfamilie,,['Wikimedia-categorie'],['Wikimedia-categorie'],[]
228,eskimo,Q215543,Eskimo-nevel,['NGC 2392'],['planetaire nevel in Tweelingen'],"['planetaire nevel', 'ster', 'veranderlijke ster', 'radiobron', 'infraroodbron', 'emissie-lijn-ster']",[]
229,eskimo's,Q131242,eskimo's,['Eskimo'],"['inheemse bevolkingsgroepen in Groenland, Canada, Alaska en Oost-Siberië']","['volk', 'etnische groep']",['volk']
230,eskimo's,Q2659059,Paleo-Eskimo's,,['Inheems volk van de Arctische regio'],"['volk', 'beschaving']",[]
231,eskimo's,Q189975,Inuit,"['Inuït', 'Inuk']",naam waarmee de Eskimo's van Groenland en Canada zichzelf aanduiden,"['etnische groep', 'volk']","[""eskimo's""]"
232,eskimo's,Q3347113,Neo-Eskimo's,,,['historische etnische groep'],[]
233,etniciteit,Q5404323,etniciteit,,['sociaal-culturele\xa0identiteit die een bepaalde groep mensen of bevolkingsgroepen verbindt'],['eigenschap'],[]
234,etniciteit,Q41710,etnische groep,"['etniciteit', 'bevolkingsgroep', 'etnisch', 'etnische bevolking']",['groep mensen of bevolkingsgroep met een bepaalde sociaal-culturele\xa0identiteit'],"['classificatiesysteem', 'persoonsgegevens']",['bevolkingsgroep']
235,etniciteit,Q133032,hongaren,"['Magyaren', 'Magiaren']",een nationaliteit en een etniciteit in hoofdzakelijk Centraal-Europa,"['bevolking', 'etnische groep']",['inwoner']
236,etniciteit,Q851126,Gorani,['Gorani (etniciteit)'],['etniciteit'],['etnische groep'],[]
238,etniciteit,Q115771874,Hongaren,,"mensen uit of inwoners van Hongarije, ongeacht etniciteit",['bevolking'],['inwoner']
239,etniciteit,Q8461,racisme,,op ras of etniciteit gebaseerde discriminatie,"['politieke ideologie', 'misdaad']","['vooroordeel', 'sociale ongelijkheid']"
240,etniciteit,Q110891832,,,"inwoners of mensen van Tahiti, Frans-Polynesië, ongeacht etniciteit","['inwoner', 'bevolking']",[]
241,etniciteit,Q7128854,Categorie:Persoon naar etniciteit,,['Wikimedia-categorie'],['metacategorie'],[]
242,etniciteit,Q111654081,Kroaten,,"inwoners of staatsburgers van Kroatië, ongeacht etniciteit","['bevolking', 'natie']",['inwoner']
243,etniciteit,Q7325,Joden,"['Joodse volk', 'Joodse gemeenschap']",aanhangers van de joodse religie (joden) dan wel iemand met de joodse etniciteit (Joden),"['natie', 'volk']",['Semieten']
244,etnische groep,Q41710,etnische groep,"['etniciteit', 'bevolkingsgroep', 'etnisch', 'etnische bevolking']",['groep mensen of bevolkingsgroep met een bepaalde sociaal-culturele\xa0identiteit'],"['classificatiesysteem', 'persoonsgegevens']",['bevolkingsgroep']
245,etnische groep,Q154278,etnische zuivering,['etnisch zuiveren'],gewelddadige actie om de aanwezigheid etnische groep in een gebied te doen dalen,[],"['misdrijf', 'etnisch conflict', 'gedwongen migratie']"
246,etnische groep,Q12223,Koerden,,etnische groep,['etnische groep'],[]
247,etnische groep,Q1988847,Russische minderheid in Litouwen,,etnische groep,['etnische groep'],['Russen']
248,etnische groep,Q3502570,Bevolking van de Falklandeilanden,"['Kelpers', 'Demografie van de Falklandeilanden']",etnische groep,['volk'],[]
249,etnische groep,Q4204501,historische etnische groep,,,[],"['etnische groep', 'voormalige entiteit']"
250,etnische groep,Q3676128,Koerden in Georgië,,etnische groep,['etnische groep'],[]
251,etnische groep,Q16513600,thuisland,['land van herkomst'],de plaats waar een etnische groep zich cultureel en historisch mee identificeert,[],['locatie']
252,etnische groep,Q533226,Greeks in Albania,['Griekse minderheid in Albanie'],etnische groep,['etnische groep'],['Grieken']
253,etnische groep,Q2455014,Bargo mensen,,etnische groep,['etnische groep'],[]
254,etnische groepen,Q105999586,Wikidata-eigenschap gerelateerd aan etnische groepen of inheemse volkeren,,,['type Wikidata-eigenschap'],['Wikidata-eigenschap']
