,term,URI,aat_bow,cs_scopeNote_tfidf
87,indians,300265494,"['french', 'referring', 'earring', 'washington', 'area', 'kalispell', 'salish', 'oreille', 'tribe', 'worn', 'member', 'confederated', 'kalispel', 'ear', 'shell', 'kootenai', 'oreilles', 'montana', 'indian', 'idaho', 'hanging', 'large', 'pend']",0.72
88,indians,300255587,"['plain', 'used', 'indian', 'pad', 'hair', 'pillowlike', 'made', 'skin', 'animal', 'saddle', 'stuffed']",0.514
89,indians,300017706,"['square', 'style', 'government', 'tsalagi', 'integrated', 'culture', 'keetoowah', 'speech', 'sovereign', 'cherokee', 'carolina', 'lineage', 'constituted']",0.877
90,indians,300265508,"['indian', 'colville', 'washington', 'river', 'original', 'near', 'located', 'fort', 'columbia', 'kettle', 'homeland', 'unknown', 'hunter', 'fall', 'named']",0.644
91,indians,300343924,"['betula', 'paper', 'thin', 'lacy', 'birch', 'specie', 'papyrifera', 'white', 'silver', 'whitens', 'bark', 'pore', 'short', 'canoe', 'american', 'woodenware', 'peel']",0.495
92,indians,300400846,"['hallucinogenic', 'effect', 'religion', 'movement', 'peyotism', 'church', 'indigenous', 'widespread', 'produce', 'entailing', 'native', 'among', 'peyote', 'american', 'religious']",0.906
93,indians,300213361,"['unwanted', 'hive', 'bud', 'antibacterial', 'abscess', 'bee', 'mummification', 'collected', 'assyrian', 'propolis', 'glue', 'antifungal']",0.576
94,indians,300017571,"['oregon', 'california', 'paviotso', 'northern', 'nevada', 'meager', 'appropriated', 'despoiled', 'rush', 'prospector', 'trespasser', 'paiute']",0.64
95,indians,300265475,"['currently', 'indian', 'boiling', 'meaning', 'reservation', 'oohenonpa', 'oohenonpas', 'occupy', 'band', 'characteristic', 'kettle', 'teton', 'cheyenne', 'lakota', 'sioux', 'seven', 'along', 'two']",0.778
96,indians,300017740,"['relocation', 'style', 'live', 'mobile', 'culture', 'speaking', 'navajo', 'apachean', 'athabaskan', 'southwest', 'prehistory', 'populous', 'navaho']",0.837
97,indians,300411107,"['spanish', 'huillich', 'culture', 'mapuche', 'valley', 'araucanians', 'neuquén', 'central', 'village', 'araucano', 'provincia', 'ethnographer']",0.747
98,indians,300017589,"['huron', 'style', 'ojibwa', 'lake', 'culture', 'chippewa', 'ojibwe', 'turtle', 'saskatchewan', 'shore', 'ojibway', 'quebec', 'superior', 'canada', 'minnesota']",0.697
99,indians,300017557,"['malecite', 'maine', 'malécite', 'malisit', 'passamaquoddy', 'maliseet', 'wabanaki', 'abnaki', 'brunswick', 'maliseets', 'saint', 'micmac', 'john', 'etchemin', 'wolastoqiyik', 'indian', 'penobscot', 'confederation', 'alliance']",0.697
100,indians,300017557,"['malecite', 'maine', 'malécite', 'malisit', 'passamaquoddy', 'maliseet', 'wabanaki', 'abnaki', 'brunswick', 'maliseets', 'saint', 'micmac', 'john', 'etchemin', 'wolastoqiyik', 'indian', 'penobscot', 'confederation', 'alliance']",0.697
