term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
native,mestizo.n.01,"['ancestry', 'american', 'mestizo', 'mixed', 'native', 'especially', 'racial', 'european', 'person']",0.8627048396665775,0.7964616238868023,0.8620516673127511
native,milanese.n.01,"['milan', 'native', 'inhabitant', 'milanese']",0.7885465492159415,0.6965604649088314,0.7803870285791271
native,monegasque.n.01,"['monegasque', 'monacan', 'monaco', 'native', 'inhabitant']",0.7700731617725065,0.6909134494060769,0.7629174489826286
native,mycenaen.n.01,"['mycenae', 'ancient', 'mycenaen', 'native', 'inhabitant']",0.7802331335541065,0.7459129459610462,0.7811512129521658
native,neapolitan.n.01,"['inhabitant', 'naples', 'native', 'neapolitan']",0.7977133378116716,0.7114697847785134,0.7902386024646504
native,nubian.n.01,"['minority', 'egypt', 'ethnic', 'nubia', 'native', 'inhabitant', 'nubian', 'form']",0.8463613182959613,0.7722076752595823,0.8440914832029297
native,occidental.n.01,"['occidental', 'occident', 'native', 'inhabitant']",0.8257484014194476,0.7755042603364064,0.8239847621010333
native,philippian.n.01,"['ancient', 'macedonia', 'philippi', 'native', 'inhabitant', 'philippian']",0.7859050129804186,0.7439817546272169,0.7865291434251972
native,phrygian.n.01,"['phrygian', 'native', 'inhabitant', 'phrygia']",0.7792975639045667,0.7179777801738656,0.7747073394603549
native,quebecois.n.01,"['quebecois', 'french', 'one', 'quebec', 'speaks', 'native', 'inhabitant', 'especially']",0.8360687992168916,0.7778148061206039,0.8363669696730235
native,sardinian.n.01,"['sardinia', 'sardinian', 'native', 'inhabitant']",0.7807294460951817,0.7103752898585253,0.7738617914405054
native,medicine_man.n.01,"['shaman', 'man', 'american', 'native', 'medicine']",0.6829208469636316,0.597306737774164,0.6765947740731386
native,tagalog.n.01,"['tagalog', 'inhabiting', 'including', 'people', 'around', 'member', 'chiefly', 'luzon', 'native', 'philippine', 'manila', 'central']",0.891549344606593,0.8158514990280031,0.8908883296005178
native,thessalian.n.01,"['thessalian', 'thessaly', 'native', 'inhabitant']",0.7807294460951817,0.7103752898585253,0.7738617914405054
native,thessalonian.n.01,"['thessalonian', 'thessalonica', 'native', 'inhabitant']",0.7807294460951817,0.7103752898585253,0.7738617914405054
native,thunderbird.n.01,"['bird', 'thunderbird', 'take', 'believed', 'spirit', 'shape', 'american', 'lightning', 'native', 'thunder', 'great', 'mythology']",0.7610672891505275,0.7396023441819325,0.7683655630153747
native,timorese.n.01,"['native', 'timorese', 'inhabitant', 'timor']",0.7771937745930242,0.693568834577473,0.7686461747380022
native,tobagonian.n.01,"['west', 'island', 'tobago', 'native', 'inhabitant', 'indie', 'tobagonian']",0.7280253223026631,0.5727313409118002,0.7109932638567618
native,trinidadian.n.01,"['native', 'inhabitant', 'trinidad', 'trinidadian']",0.7637840004406385,0.6752369501693649,0.7543891227381989
native,tyke.n.01,"['tyke', 'native', 'yorkshire']",0.7221098363401818,0.6053300905473661,0.7070585359160649
native,west_indian.n.01,"['west', 'native', 'indian', 'inhabitant', 'indie']",0.7583018622589989,0.6170158560103836,0.7434145084953581
native,brinton.n.01,"['language', 'garrison', 'systematic', 'state', 'brinton', 'american', 'united', 'daniel', 'anthropologist', 'attempt', 'first', 'native', 'classification']",0.9069735634544062,0.8183786031475462,0.9048393292410815
native,hiawatha.n.01,"['peace', 'chieftain', 'settler', 'american', 'argued', 'hiawatha', 'native', 'european', 'century']",0.8011222861452801,0.7128206323536017,0.7972643017543075
native,jackson.n.05,"['romantic', 'unjust', 'state', 'jackson', 'american', 'fiske', 'helen', 'united', 'writer', 'novel', 'treatment', 'native', 'hunt', 'maria']",0.8192897827879106,0.7063915770336822,0.8121778180957993
native,minuit.n.01,"['bought', 'american', 'manhattan', 'minnewit', 'native', 'equivalent', 'dutch', 'colonist', 'peter', 'minuit']",0.7940487879806675,0.6887704395084222,0.787539908769814
native,whitman.n.02,"['schooling', 'state', 'american', 'oregon', 'christianity', 'united', 'marcus', 'established', 'post', 'whitman', 'available', 'native', 'missionary', 'frontier', 'medicine']",0.9056472305257184,0.7776441395689347,0.8980083393734875
native,endemic.n.02,"['plant', 'endemic', 'limited', 'island', 'certain', 'native', 'area', 'found']",0.8582283419303606,0.7783902652831771,0.8554976671898655
native,genus_ephedra.n.01,"['plant', 'evergreen', 'genus', 'inhospitable', 'shrubby', 'subtropical', 'ephedra', 'tropical', 'type', 'creeping', 'dry', 'native', 'region', 'sole']",0.7196730844912312,0.6938009326547507,0.7231340202126106
native,japanese_red_pine.n.01,"['japanese', 'irregular', 'spreading', 'ornamental', 'korea', 'grown', 'japan', 'red', 'pine', 'densiflora', 'native', 'pinus', 'wide', 'crown', 'table']",0.6934103370624487,0.6689012068389372,0.6978780616815862
native,norway_spruce.n.01,"['northern', 'branchlet', 'spreading', 'green', 'norway', 'dark', 'spruce', 'pendulous', 'long', 'picea', 'cone', 'europe', 'foliage', 'native', 'branch', 'tall', 'abies', 'pyramidal']",0.6349973754958894,0.6046019677709946,0.6395265028773235
native,gowen_cypress.n.01,"['pygmy', 'often', 'includes', 'goveniana', 'system', 'cruz', 'cupressus', 'shrubby', 'santa', 'small', 'cypress', 'native', 'classification', 'tree', 'used', 'sometimes', 'gowen']",0.8003546044436944,0.7940048143101068,0.8085659710279997
native,pygmy_cypress.n.01,"['pygmy', 'northern', 'considered', 'goveniana', 'specie', 'cupressus', 'pigmaea', 'small', 'cypress', 'native', 'rare', 'sometimes', 'gowen']",0.8145586809994751,0.8009504030044424,0.821089444935837
native,amboina_pine.n.01,"['source', 'amboyna', 'moluccas', 'alba', 'dammara', 'pine', 'native', 'amboina', 'agathis', 'dammar', 'resin']",0.6283753012296537,0.5862136687518675,0.6264593627233563
native,new_caledonian_yew.n.01,"['cultivated', 'large', 'austrotaxus', 'eastern', 'zealand', 'spicata', 'yew', 'caledonian', 'new', 'native', 'australia', 'hawaii']",0.8147924763071419,0.7094434853799486,0.80662236380252
native,pawpaw.n.02,"['papaw', 'pawpaw', 'fleshy', 'eastern', 'state', 'fruit', 'leaf', 'united', 'small', 'asimina', 'native', 'oblong', 'triloba', 'tree']",0.702921409134391,0.6369923019926703,0.700487693041201
native,saucer_magnolia.n.01,"['magnolia', 'large', 'soulangiana', 'prized', 'chinese', 'ornamental', 'eastern', 'north', 'america', 'deciduous', 'open', 'small', 'native', 'saucer', 'shrub', 'purplish', 'tree', 'rosy']",0.71510755437787,0.6486296400898144,0.7135356078557926
native,lotus.n.01,"['sacred', 'flower', 'cultivated', 'large', 'eastern', 'white', 'lotus', 'nelumbo', 'indian', 'native', 'pink', 'nucifera', 'widely']",0.7325390610523869,0.702160497295951,0.7359149615141254
native,lesser_celandine.n.01,"['poultice', 'shaped', 'relieve', 'pilewort', 'europe', 'root', 'herb', 'elsewhere', 'leaf', 'ficaria', 'yellow', 'resembling', 'lesser', 'heart', 'celandine', 'native', 'used', 'ranunculus', 'perennial', 'flower', 'naturalized', 'tuberous', 'pile']",0.6903569021584822,0.7129019863730378,0.7035572775885348
native,monkshood.n.01,"['monkshood', 'aconite', 'napellus', 'europe', 'root', 'poisonous', 'northern', 'herb', 'leaf', 'hooded', 'helmet', 'dried', 'native', 'flower', 'purple', 'blue', 'helmetflower', 'aconitum', 'yield']",0.5690372754448645,0.5593428623330432,0.5748682276115763
native,rue_anemone.n.01,"['flower', 'anemonella', 'shaped', 'eastern', 'north', 'reminiscent', 'america', 'rue', 'anemone', 'native', 'cup', 'thalictroides', 'delicate', 'woodland']",0.6678057657257298,0.5824734839385486,0.6627939599758494
native,giant_buttercup.n.01,"['perennial', 'ranunculus', 'laccopetalum', 'genus', 'wet', 'grassland', 'giant', 'giganteum', 'montane', 'buttercup', 'included', 'native', 'formerly', 'spectacular']",0.6431357925005462,0.6336602209086347,0.6487679424422877
native,hop_clover.n.02,"['lesser', 'considered', 'hop', 'often', 'clover', 'trefoil', 'original', 'shamrock', 'yellow', 'native', 'dubium', 'yellowish', 'trifolium', 'true', 'ireland']",0.7530411483998098,0.7533266228908417,0.7633682200650346
native,honey_mesquite.n.01,"['bearing', 'pod', 'drought', 'mexico', 'united', 'resistant', 'western', 'livestock', 'glandulosa', 'rich', 'prosopis', 'thorny', 'tends', 'state', 'sugar', 'extensive', 'native', 'important', 'form', 'mesquite', 'southwestern', 'rooted', 'thicket', 'honey', 'shrub', 'deep']",0.8382004315023491,0.7933723474931222,0.8422952961334842
native,indian_hemp.n.03,"['inflammation', 'dogbane', 'pain', 'hemp', 'cannabinum', 'cordage', 'canadian', 'indian', 'tough', 'apocynum', 'yielding', 'joint', 'native', 'rheumatism', 'fiber', 'used', 'medicine', 'folk', 'weed']",0.7477590899667584,0.7212127066133011,0.753828047877343
native,catharanthus.n.01,"['perennial', 'vinca', 'genus', 'herb', 'naturalized', 'included', 'small', 'native', 'catharanthus', 'formerly', 'annual', 'widely', 'erect']",0.763032242491268,0.7478588904487505,0.7692640947517377
native,oleander.n.01,"['cluster', 'cultivated', 'evergreen', 'narrow', 'flowering', 'poisonous', 'indie', 'leaf', 'widely', 'ornamental', 'bay', 'rose', 'east', 'white', 'red', 'native', 'warm', 'pink', 'region', 'nerium', 'oleander', 'fragrant', 'shrub']",0.6204321438233299,0.5892676975139556,0.6231150452270326
native,birthwort.n.01,"['plant', 'flower', 'aristolochia', 'curving', 'birthwort', 'eastern', 'resemble', 'naturalized', 'north', 'creeping', 'clematitis', 'america', 'native', 'thought', 'great', 'britain']",0.8354675943967591,0.7708797205595265,0.836020287826943
native,ragged_robin.n.01,"['flower', 'flos', 'lychnis', 'cuculi', 'perennial', 'western', 'usually', 'lychins', 'common', 'cuckoo', 'europe', 'native', 'asia', 'robin', 'ragged', 'pink', 'petal', 'floscuculi']",0.6460569795327572,0.6161240333989372,0.6485842025855262
native,lithops.n.01,"['plant', 'flower', 'living', 'stoneface', 'genus', 'stone', 'africa', 'resemble', 'leaf', 'solitary', 'flowering', 'white', 'yellow', 'native', 'face', 'lithops', 'thick', 'life']",0.6818277307300837,0.6584822738845334,0.6866265230983856
native,amaranth.n.01,"['seed', 'plant', 'amaranth', 'south', 'america', 'native', 'cereal', 'central', 'used']",0.7801930874218875,0.6861269987279146,0.7737748288988286
native,cactus.n.01,"['plant', 'usually', 'arid', 'cactus', 'chiefly', 'native', 'new', 'cactaceae', 'region', 'spine', 'world', 'succulent', 'family']",0.8158072924085754,0.7378960554326774,0.8126146810940125
native,opuntia.n.01,"['opuntia', 'large', 'genus', 'cactus', 'pear', 'native', 'prickly']",0.6189760133939487,0.6011992947746504,0.6211975521281898
native,spider_flower.n.01,"['shaped', 'south', 'united', 'part', 'long', 'plant', 'spider', 'america', 'grown', 'white', 'cleome', 'native', 'warm', 'pink', 'flower', 'lasting', 'hassleriana', 'purple', 'naturalized']",0.7401120516972618,0.6940549838462643,0.7424497888729987
native,stonecress.n.01,"['old', 'limestone', 'herb', 'genus', 'stone', 'habitat', 'stonecress', 'native', 'sunny', 'world', 'cress']",0.6319352163741085,0.5772717810792177,0.6314021085052465
native,candytuft.n.01,"['plant', 'cluster', 'purple', 'cultivated', 'genus', 'candytuft', 'white', 'flowering', 'iberis', 'red', 'native', 'region', 'showy', 'mediterranean', 'various']",0.7448989209314015,0.7179452639895576,0.7484703889596717
native,virginian_stock.n.01,"['cultivated', 'virginia', 'stock', 'cliff', 'raceme', 'loose', 'erect', 'herb', 'albania', 'southern', 'greece', 'white', 'sand', 'red', 'lilac', 'sea', 'native', 'pink', 'malcolmia', 'southwestern', 'maritima', 'branching', 'fragrant', 'virginian']",0.5876321300821619,0.5358073265801296,0.5880185267690166
native,golden_cup.n.01,"['clear', 'dissected', 'grey', 'golden', 'highland', 'glossy', 'yellow', 'cup', 'tulip', 'fumariifolia', 'finely', 'mexican', 'grown', 'native', 'foliage', 'poppy', 'flower', 'blue', 'hunnemania']",0.5068898093044322,0.48293815621319913,0.5093796637681604
native,bloodroot.n.01,"['bearing', 'emetic', 'north', 'stimulant', 'acrid', 'root', 'lobed', 'spring', 'tetterwort', 'leaf', 'america', 'early', 'sanguinaria', 'bloodroot', 'canadensis', 'white', 'red', 'native', 'expectorant', 'used', 'perennial', 'flower', 'solitary', 'redroot', 'sap', 'puccoon', 'woodland', 'rootstock']",0.7113082949451932,0.7016410796744255,0.719336099012208
native,celandine_poppy.n.01,"['perennial', 'flower', 'herb', 'eastern', 'state', 'woodland', 'celandine', 'diphyllum', 'united', 'yellow', 'native', 'stylophorum', 'poppy', 'wood']",0.7291077925489471,0.6279437828890336,0.7210328222760661
native,achillea.n.01,"['plant', 'flower', 'genus', 'topped', 'flat', 'white', 'achillea', 'europe', 'native', 'small', 'head', 'several']",0.720564402023284,0.6811183910880276,0.7233401330845521
native,blue-eyed_african_daisy.n.01,"['often', 'venusta', 'sheet', 'south', 'bushy', 'entire', 'african', 'stoechadifolia', 'eyed', 'white', 'daisy', 'native', 'side', 'region', 'arctotis', 'perennial', 'violet', 'blue', 'africa', 'clothes', 'color', 'valley']",0.6763316286404996,0.6020640789737918,0.6735527650887574
native,lesser_knapweed.n.01,"['lesser', 'perennial', 'purple', 'centaurea', 'hardheads', 'wiry', 'stem', 'naturalized', 'nigra', 'europe', 'black', 'tough', 'native', 'knapweed', 'widely', 'weedy']",0.7056695044504949,0.7271285179656958,0.7170658867680442
native,dahlia.n.01,"['specie', 'mexico', 'pinnata', 'root', 'variously', 'mountain', 'several', 'plant', 'dahlia', 'colored', 'rayed', 'america', 'developed', 'native', 'flower', 'colombia', 'tuberous', 'showy', 'central']",0.8129488398763994,0.7756830390688726,0.8166947044813334
native,edelweiss.n.01,"['perennial', 'plant', 'flower', 'alpinum', 'leaf', 'alpine', 'europe', 'bract', 'native', 'small', 'head', 'star', 'glistening', 'whitish', 'held', 'covered', 'edelweiss', 'leontopodium']",0.6774892778668232,0.6211873188737087,0.6778383156534808
