,term,hit_id,pwn_bow,cs_rm,cs_wm,cs_rm_wm
61,indians,pueblo.n.03,"['communal', 'united', 'indian', 'pueblo', 'village', 'state', 'built', 'southwestern']",0.7867912706223006,0.7144208944061641,0.7778405360670668
62,indians,dominica.n.02,"['carib', 'indian', 'island', 'stronghold', 'dominica', 'volcanic', 'windward']",0.6593028565100425,0.6748644698152085,0.6632780795491494
63,indians,plains_indian.n.01,"['life', 'tribe', 'one', 'north', 'indian', 'member', 'american', 'plain', 'following', 'great', 'america', 'buffalo', 'lived', 'nomadic']",0.8169721770945734,0.7946739225297196,0.8151077093424668
64,indians,arapaho.n.01,"['living', 'tribe', 'wyoming', 'indian', 'member', 'plain', 'eastern', 'inhabiting', 'oklahoma', 'colorado', 'arapahoe', 'formerly', 'arapaho']",0.8196622525743605,0.7868306123976883,0.8167976580641418
65,indians,caddo.n.01,"['living', 'north', 'indian', 'caddo', 'plain', 'dakota', 'group', 'arkansas', 'louisiana', 'oklahoma', 'texas', 'formerly', 'south', 'kansa', 'nebraska']",0.667154410184411,0.6424447159058231,0.6578000233824592
66,indians,haida.n.01,"['north', 'indian', 'member', 'american', 'lived', 'group', 'seafaring', 'pacific', 'coast', 'british', 'columbia', 'haida', 'southwestern', 'alaska']",0.7339682380954875,0.7242301721254258,0.7300782021830453
67,indians,salish.n.02,"['living', 'northwest', 'north', 'language', 'indian', 'speaking', 'member', 'american', 'group', 'america', 'coast', 'salishan', 'salish']",0.8324201771412642,0.7809180599445418,0.8253692039495023
68,indians,tlingit.n.01,"['living', 'north', 'indian', 'member', 'american', 'group', 'seafaring', 'southern', 'tlingit', 'alaska']",0.7961611227022559,0.7511494756754941,0.7892693050051479
69,indians,cooper.n.03,"['frontier', 'life', 'united', 'fenimore', 'james', 'indian', 'american', 'story', 'novelist', 'cooper', 'state', 'noted']",0.7621450536954176,0.7740855025015105,0.7670284718145931
70,indians,rasmussen.n.01,"['find', 'asia', 'kund', 'arctic', 'american', 'johan', 'led', 'expedition', 'support', 'originally', 'rasmussen', 'danish', 'theory', 'victor', 'eskimo', 'north', 'migrated', 'indian', 'ethnologist']",0.8159746319958997,0.8225449271431001,0.8222884342402522
71,indians,sapir.n.01,"['north', 'language', 'indian', 'american', 'anthropologist', 'sapir', 'studied', 'edward']",0.7538365550343202,0.7453672655053903,0.7514380766041986
72,indians,flame_flower.n.02,"['aurantiacum', 'flame', 'cooked', 'succulent', 'flameflower', 'fleshy', 'narrow', 'talinum', 'one', 'plant', 'root', 'upper', 'southwestern', 'united', 'erect', 'orange', 'leaf', 'indian', 'stem', 'flower', 'reddish']",0.6282344675480316,0.6370267932106237,0.6390067692169157
73,indians,american_feverfew.n.01,"['prairie', 'feverfew', 'integrifolium', 'whitish', 'american', 'eastern', 'wild', 'traditionally', 'treat', 'catawba', 'used', 'burn', 'herb', 'quinine', 'dock', 'state', 'perennial', 'parthenium', 'united', 'stout', 'leaf', 'indian']",0.7810502061539156,0.7569294495972194,0.7814109080042266
74,indians,colorado_river_hemp.n.01,"['fiber', 'tall', 'green', 'colorado', 'hemp', 'bast', 'annual', 'exaltata', 'grown', 'yield', 'river', 'growing', 'sesbania', 'tough', 'used', 'widely', 'state', 'formerly', 'southwestern', 'united', 'indian', 'cordage', 'strong']",0.8180111610056039,0.7867111322706589,0.8220475477261978
75,indian,indian.n.01,"['inhabitant', 'india', 'native', 'indian']",0.7850588551925204,0.7921977756521377,0.7774705374499764
76,indian,amerind.n.01,"['language', 'amerindian', 'indian', 'american', 'spoken', 'amerind']",0.7366321639548603,0.7411273923106517,0.7311349894192876
77,indian,indian.a.01,"['language', 'east', 'indian', 'characteristic', 'relating', 'sari', 'india', 'subcontinent', 'indie', 'people', 'culture']",0.8977289242627894,0.839095849894374,0.8905534208580762
78,indian,indian.a.02,"['amerindic', 'pertaining', 'language', 'native', 'indian', 'american', 'arrowhead', 'religion', 'culture', 'amerind']",0.8965716681071939,0.8472680174941998,0.8914179809514415
79,indian,hispaniolan.a.01,"['indian', 'island', 'relating', 'hispaniola', 'west', 'hispaniolan']",0.7703705765338764,0.7237826097707781,0.7639505278228355
80,indian,lucknow.n.02,"['besieged', 'indian', 'mutiny', 'lucknow', 'british', 'resident', 'insurgent']",0.6125014281130526,0.6672374653389074,0.6210503453759201
81,indian,french_and_indian_war.n.01,"['aided', 'france', 'north', 'french', 'indian', 'american', 'america', 'britain', 'war']",0.69515792543282,0.7226366843612869,0.6919403219899363
82,indian,shrimpfish.n.01,"['east', 'indian', 'shallow', 'transparent', 'shrimpfish', 'water', 'shrimp', 'tropical', 'slender', 'covered', 'plate', 'fish']",0.658669290954174,0.6373577804405315,0.6618820589909208
83,indian,whitetip_shark.n.01,"['white', 'caudal', 'red', 'indian', 'fin', 'smooth', 'tipped', 'obseus', 'triaenodon', 'reef', 'dogfish', 'pacific', 'whitetip', 'ocean', 'dorsal', 'sea', 'shark']",0.3915785821896327,0.42913919762721303,0.399516178911478
84,indian,baya.n.01,"['weaverbird', 'philippinus', 'indian', 'baya', 'ploceus', 'common']",0.7850858332226263,0.7854182455530362,0.7802069726525198
85,indian,pacific_ridley.n.01,"['colored', 'ridley', 'indian', 'olive', 'olivacea', 'southern', 'turtle', 'pacific', 'tropical', 'atlantic', 'lepidochelys', 'ocean', 'sea']",0.5249220970639317,0.5550557017282052,0.5279740438306467
86,indian,gavial.n.01,"['large', 'snout', 'indian', 'gangeticus', 'crocodilian', 'eating', 'long', 'gavialis', 'gavial', 'slender', 'fish']",0.643227090425339,0.6237699938031149,0.6458730512597912
87,indian,argus.n.02,"['large', 'east', 'indian', 'patterned', 'brilliantly', 'pheasant', 'argus']",0.759138608192851,0.7266324534042446,0.7585912292081104
88,indian,tody.n.01,"['plumage', 'bird', 'indian', 'red', 'green', 'bill', 'tody', 'tiny', 'insectivorous', 'long', 'straight', 'west']",0.5470577867330358,0.546024831483419,0.5514451559773775
89,indian,chambered_nautilus.n.01,"['chambered', 'cephalopod', 'indian', 'spiral', 'pale', 'partition', 'pacific', 'ocean', 'shell', 'pearly', 'nautilus']",0.6550827442706445,0.6663232603120323,0.6642211867735083
