resource,lang,lemma,entity_id,explicit_marker,value,level
aat,en,oriental,300041759,termKind,['JargonOrSlang'],1
aat,en,colored,300252337,termKind,['JargonOrSlang'],1
aat,en,colored,300310552,historicFlag,,1
aat,en,colored,300013788,historicFlag,,1
aat,en,inuit,300017455,termKind,['Pejorative'],3
aat,en,black,300261258,historicFlag,,1
aat,en,black,300375682,termKind,['JargonOrSlang'],1
aat,en,black,300310656,termKind,['JargonOrSlang'],1
aat,en,black,300400883,historicFlag,,1
aat,en,black,300013568,historicFlag,,1
aat,en,dwarf,300310411,historicFlag,,2
aat,en,dwarf,300310690,termKind,['JargonOrSlang'],2
aat,en,race,300000597,historicFlag,,1
aat,en,primitive,300069057,historicFlag,,1
aat,en,primitive,300310154,historicFlag,,1
aat,en,primitive,300056500,historicFlag,,3
aat,en,primitive,300056500,termKind,['Pejorative'],3
aat,en,slave,300230899,termKind,['Pejorative'],3
aat,en,slave,300055309,historicFlag,,2
aat,en,primitivism,300056500,historicFlag,,3
aat,en,primitivism,300056500,termKind,['Pejorative'],3
aat,en,indigenous,300387760,historicFlag,,1
aat,en,indigenous,300017437,historicFlag,,3
aat,en,indigenous,300017437,termKind,['AvoidUse'],3
aat,en,indigenous,300389818,termKind,['Deprecated'],2
aat,en,indigenous,300264462,historicFlag,,1
aat,en,indigenous,300056500,historicFlag,,3
aat,en,indigenous,300056500,termKind,['Pejorative'],3
aat,en,traditional,300021946,historicFlag,,1
aat,en,traditional,300021930,historicFlag,,1
aat,en,traditional,300264462,historicFlag,,1
aat,en,traditional,300106840,historicFlag,,1
aat,en,tribe,300438481,termKind,['JargonOrSlang'],1
aat,en,tribe,300017557,historicFlag,,1
aat,en,tribe,300017559,historicFlag,,1
aat,nl,homo,300310690,termKind,['JargonOrSlang'],2
aat,nl,westers,300022022,historicFlag,,2
aat,nl,westers,300264400,historicFlag,,1
aat,nl,westers,300069057,historicFlag,,1
aat,nl,hermafrodiet,300386060,termKind,['Deprecated'],3
aat,nl,inuk,300017455,termKind,['Pejorative'],3
aat,nl,indiaan,300017437,historicFlag,,3
aat,nl,indiaan,300017437,termKind,['AvoidUse'],3
aat,nl,indiaan,300389818,termKind,['Deprecated'],2
aat,nl,indiaan,300310567,historicFlag,,1
aat,nl,indiaan,300016954,historicFlag,,2
aat,nl,indiaan,300016954,termKind,['AvoidUse'],2
aat,nl,indiaan,300017557,historicFlag,,1
aat,nl,indiaan,300017559,historicFlag,,1
aat,nl,afkomst,300016575,historicFlag,,2
aat,nl,stam,300056500,historicFlag,,2
aat,nl,stam,300056500,termKind,['Pejorative'],2
aat,nl,stam,300310153,historicFlag,,1
aat,nl,stam,300197148,historicFlag,,1
aat,nl,stam,300017557,historicFlag,,1
aat,nl,stam,300017559,historicFlag,,1
aat,nl,stam,300310154,historicFlag,,1
aat,nl,zwart,300375682,termKind,['JargonOrSlang'],2
aat,nl,zwart,300310656,termKind,['JargonOrSlang'],1
aat,nl,traditioneel,300021946,historicFlag,,1
aat,nl,traditioneel,300021930,historicFlag,,1
aat,nl,traditioneel,300264462,historicFlag,,1
aat,nl,traditioneel,300106840,historicFlag,,1
aat,nl,primitief,300069057,historicFlag,,1
aat,nl,primitief,300310154,historicFlag,,1
aat,nl,primitief,300056500,historicFlag,,2
aat,nl,primitief,300056500,termKind,['Pejorative'],2
aat,nl,indisch,300389906,historicFlag,,1
aat,nl,berber,300443574,historicFlag,,1
aat,nl,ras,300017437,historicFlag,,3
aat,nl,ras,300017437,termKind,['AvoidUse'],3
aat,nl,ras,300389818,termKind,['Deprecated'],2
aat,nl,slaaf,300230899,termKind,['Pejorative'],3
aat,nl,slaaf,300055309,historicFlag,,2
aat,nl,primitivisme,300056500,historicFlag,,2
aat,nl,primitivisme,300056500,termKind,['Pejorative'],2
aat,nl,eskimo,300017437,historicFlag,,3
aat,nl,eskimo,300017437,termKind,['AvoidUse'],3
aat,nl,eskimo,300389818,termKind,['Deprecated'],2
aat,nl,hottentot,300016575,historicFlag,,2
aat,nl,indo,300386794,historicFlag,,3
aat,nl,wit,300380504,historicFlag,,1
aat,nl,wit,300310656,termKind,['JargonOrSlang'],1
aat,nl,wit,300266236,historicFlag,,1
aat,nl,inheems,300387760,historicFlag,,1
aat,nl,inheems,300017437,historicFlag,,3
aat,nl,inheems,300017437,termKind,['AvoidUse'],3
aat,nl,inheems,300389818,termKind,['Deprecated'],2
aat,nl,inheems,300017557,historicFlag,,1
aat,nl,inheems,300017559,historicFlag,,1
aat,nl,inheems,300264462,historicFlag,,1
aat,nl,inheems,300056500,historicFlag,,2
aat,nl,inheems,300056500,termKind,['Pejorative'],2
aat,nl,inheems,300400499,historicFlag,,1
aat,nl,inheems,300393173,historicFlag,,1
aat,nl,inheems,300389906,historicFlag,,1
aat,nl,inheems,300389908,historicFlag,,1
aat,nl,inheems,300389683,historicFlag,,1
aat,nl,inheems,300389684,historicFlag,,1
aat,nl,inheems,300375344,historicFlag,,1
aat,nl,inheems,300343716,historicFlag,,1
aat,nl,inheems,300343602,historicFlag,,1
aat,nl,inheems,300343680,historicFlag,,1
aat,nl,inheems,300374834,historicFlag,,1
aat,nl,inheems,300375682,termKind,['JargonOrSlang'],2
aat,nl,inheems,300374823,historicFlag,,1
aat,nl,inheems,300310577,termKind,['JargonOrSlang'],1
aat,nl,inheems,300343721,historicFlag,,1
