lemma,term,lang,n_entities
homoseksueel,homoseksueel,nl,1
stam,stammen,nl,84
stam,stam,nl,139
oriëntaals,oriëntaal,nl,1
oriëntaals,oriëntaalsere,nl,0
oriëntaals,oriëntaler,nl,0
oriëntaals,oriëntaalste,nl,0
oriëntaals,oriëntaalser,nl,0
oriëntaals,oriëntale,nl,0
oriëntaals,oriëntalere,nl,0
oriëntaals,oriëntaalse,nl,2
oriëntaals,oriëntaalst,nl,0
oriëntaals,oriëntaals,nl,3
batavia,batavia,nl,1
halfbloed,halfbloeden,nl,0
halfbloed,halfbloed,nl,0
boslandcreool,boslandcreolen,nl,0
boslandcreool,boslandcreool,nl,0
queer,queer,nl,0
zigeuner,zigeuners,nl,5
zigeuner,zigeuner,nl,1
bosneger,bosnegers,nl,0
bosneger,bosneger,nl,0
ontwikkelingsland,ontwikkelingslanden,nl,3
ontwikkelingsland,ontwikkelingsland,nl,1
zwart,zwartste,nl,0
zwart,zwarten,nl,1
zwart,zwartst,nl,0
zwart,zwartere,nl,0
zwart,zwarte,nl,211
zwart,zwarter,nl,0
zwart,zwarts,nl,0
zwart,zwart,nl,256
traditioneel,traditioneelste,nl,0
traditioneel,traditioneels,nl,0
traditioneel,traditioneelst,nl,0
traditioneel,traditionelere,nl,2
traditioneel,traditionele,nl,216
traditioneel,traditioneler,nl,0
traditioneel,traditioneel,nl,95
mesties,mestiezen,nl,0
mesties,mesties,nl,0
primitief,primitieve,nl,31
primitief,primitiefste,nl,0
primitief,primitievere,nl,0
primitief,primitiefst,nl,0
primitief,primitiefs,nl,0
primitief,primitiever,nl,1
primitief,primitief,nl,3
ontdekken,ontdekken,nl,9
koppensneller,koppensnellers,nl,0
koppensneller,koppensneller,nl,0
lagelonenland,lagelonenlanden,nl,0
lagelonenland,lagelonenland,nl,0
inlander,inlanders,nl,0
inlander,inlander,nl,0
dwerg,dwergen,nl,1
dwerg,dwerg,nl,3
gay,gaye,nl,0
gay,gayer,nl,0
gay,gayst,nl,0
gay,gays,nl,0
gay,gayste,nl,0
gay,gay,nl,1
baboe,baboes,nl,0
baboe,baboe,nl,0
indisch,indische,nl,32
indisch,indischere,nl,0
indisch,indischer,nl,0
indisch,indisch,nl,5
berber,berbers,nl,8
berber,berber,nl,5
pygmee,pygmeeën,nl,2
pygmee,pygmee,nl,2
gekleurd,gekleurdste,nl,0
