lemma,lang,aat_prefLabel,aat_altLabel,aat_scopeNote,aat_prefLabel_comment,aat_altLabel_comment,total_lemma
politionele actie,nl,0,0,0,0,0,0
primitief,nl,3,0,32,0,0,35
primitivisme,nl,1,0,3,0,0,4
pygmee,nl,2,0,3,0,0,5
queer,nl,0,0,0,0,0,0
ras,nl,4,0,23,0,0,27
roots,nl,0,0,0,0,0,0
slaaf,nl,1,1,15,0,0,17
stam,nl,24,2,217,0,0,243
traditioneel,nl,3,0,310,0,0,313
trans,nl,1,2,0,0,0,3
travestiet,nl,0,0,2,0,0,2
tweede wereld,nl,0,0,0,0,0,0
volbloed,nl,0,0,0,0,0,0
westers,nl,9,4,124,0,0,137
wit,nl,54,13,663,0,0,730
zigeuner,nl,0,1,5,0,0,6
zuid-rhodesië,nl,0,0,0,0,0,0
zwart,nl,52,20,423,0,0,495
