lemma,term,lang,e_clean
colored,colored,en,9625
inuit,inuits,en,4
inuit,inuit,en,420
black,blacks,en,347
black,blacker,en,70
black,blackest,en,9
black,black,en,8035
queer,queers,en,31
queer,queerest,en,1
queer,queerer,en,1
queer,queer,en,706
calcutta,calcuttas,en,0
calcutta,calcutta,en,971
ethnic groups,ethnic group,en,4093
ethnic groups,ethnic groups,en,616
maroon,maroons,en,316
maroon,maroon,en,245
trans,transs,en,0
trans,trans,en,7705
half-breed,half-breeds,en,1
half-breed,half-breed,en,42
lilliputian,lilliputians,en,3
lilliputian,lilliputian,en,8
dwarf,dwarfer,en,0
dwarf,dwarves,en,60
dwarf,dwarfs,en,159
dwarf,dwarfest,en,0
dwarf,dwarf,en,9095
half-blood,half-bloods,en,0
half-blood,half-blood,en,48
burma,burma,en,2049
race,races,en,1955
race,race,en,9270
handicap,handicaps,en,22
handicap,handicap,en,517
primitive,primitives,en,49
primitive,primitive,en,898
retarded,retarded,en,64
footmen,footman,en,49
footmen,footmen,en,10
slave,slaves,en,494
slave,slave,en,2395
first world,first world,en,827
ethnicity,ethnicities,en,28
ethnicity,ethnicity,en,692
primitivism,primitivism,en,26
indigenous,indigenous,en,4303
traditional,traditionals,en,0
traditional,traditional,en,7893
full blood,full blood,en,7
métis,metis,en,104
métis,métis,en,180
tribe,tribes,en,1167
tribe,tribe,en,3978
politionele actie,politionele acties,nl,1
politionele actie,politionele actie,nl,2
birma,birma,nl,42
exotisch,exotische,nl,26
exotisch,exotischere,nl,0
exotisch,exotischer,nl,3
exotisch,exotisch,nl,19
handicap,handicaps,nl,2
handicap,handicap,nl,42
medicijnman,medicijnmannen,nl,0
medicijnman,medicijnman,nl,9
lilliputter,lilliputters,nl,0
lilliputter,lilliputter,nl,2
homo,homo's,nl,2
homo,homo,nl,3208
mongool,mongools,nl,79
mongool,mongolen,nl,10
mongool,mongool,nl,1
jap,japs,nl,1
jap,jappen,nl,1
jap,jap,nl,27
islamiet,islamieten,nl,1
islamiet,islamiet,nl,1
westers,westersere,nl,0
westers,westerse,nl,71
westers,westerser,nl,0
westers,wester,nl,150
westers,westerste,nl,0
westers,westerst,nl,0
westers,westers,nl,8
etniciteit,etniciteiten,nl,0
etniciteit,etniciteit,nl,13
homoseksualiteit,homoseksualiteit,nl,24
neger,negers,nl,5
neger,neger,nl,38
bediende,bedienden,nl,13
bediende,bediendes,nl,0
bediende,bediend,nl,10
bediende,bediende,nl,201
hermafrodiet,hermafrodieten,nl,0
hermafrodiet,hermafrodiet,nl,5
inuk,inuit,nl,19
inuk,inuk,nl,5
indiaan,indiaans,nl,10
indiaan,indianen,nl,36
indiaan,indiaan,nl,9174
afkomst,afkomsten,nl,0
afkomst,afkomst,nl,141
blank,blankst,nl,0
blank,blanke,nl,32
blank,blankste,nl,0
blank,blankere,nl,0
blank,blanker,nl,3
blank,blanks,nl,7
blank,blanken,nl,21
blank,blank,nl,107
bombay,bombay,nl,188
knecht,knechten,nl,4
knecht,knechts,nl,6
knecht,knecht,nl,58
jappenkamp,jappenkampen,nl,1
jappenkamp,jappenkamp,nl,6
homoseksueel,homoseksueels,nl,0
homoseksueel,homoseksuelen,nl,6
homoseksueel,homoseksueelst,nl,0
homoseksueel,homoseksueelste,nl,0
homoseksueel,homoseksueler,nl,0
homoseksueel,homoseksuelere,nl,0
homoseksueel,homoseksuele,nl,10
homoseksueel,homoseksueel,nl,10
stam,stammen,nl,25
stam,stam,nl,197
oriëntaals,oriëntaal,nl,0
oriëntaals,oriëntaalsere,nl,0
oriëntaals,oriëntaler,nl,0
oriëntaals,oriëntaalste,nl,0
oriëntaals,oriëntaalser,nl,0
oriëntaals,oriëntale,nl,0
oriëntaals,oriëntalere,nl,0
oriëntaals,oriëntaalse,nl,6
oriëntaals,oriëntaalst,nl,0
oriëntaals,oriëntaals,nl,14
batavia,batavia,nl,134
halfbloed,halfbloeden,nl,0
