term,lang,e_no_filter,e_filter_keywords,e_filter_keywords_statements
gekleurdste,nl,0,0,0
gekleurde,nl,19,19,18
gekleurdst,nl,0,0,0
gekleurder,nl,0,0,0
gekleurds,nl,0,0,0
gekleurdere,nl,0,0,0
gekleurd,nl,10,9,9
roots,nl,24692,2126,1519
kaukasischer,nl,24,19,8
kaukasischere,nl,0,0,0
kaukasische,nl,126,116,48
kaukasisch,nl,65,65,59
achterlijkst,nl,0,0,0
achterlijkste,nl,0,0,0
achterlijker,nl,0,0,0
achterlijkheid,nl,0,0,0
achterlijkere,nl,0,0,0
achterlijken,nl,0,0,0
achterlijke,nl,0,0,0
achterlijks,nl,0,0,0
achterlijk,nl,2,2,1
mulatten,nl,3,3,3
mulat,nl,271,34,32
rast,nl,1774,503,461
rassere,nl,0,0,0
rassen,nl,166,69,62
rasse,nl,465,228,222
rasser,nl,109,26,23
raste,nl,100,40,33
ras,nl,28376,9170,4186
etnische groepen,nl,8,5,4
etnische groep,nl,20211,20210,20210
eerste wereld,nl,1,1,1
aboriginals,nl,195,31,29
aboriginal,nl,7785,1961,1872
travestieten,nl,0,0,0
travestiet,nl,4,4,4
barbaren,nl,50,48,34
barbaar,nl,10,10,9
derde wereld,nl,6,5,5
slaven,nl,896,187,160
slaaf,nl,208,59,55
primitivismen,nl,0,0,0
primitivisme,nl,6,6,5
eskimo's,nl,12,9,8
eskimo,nl,1016,531,477
pages,nl,27735,17182,16713
page,nl,7100522,6896363,5435977
zuid-rhodesië,nl,17,17,17
inboorlingen,nl,0,0,0
inboorling,nl,1,1,1
hottentotten,nl,16,15,7
hottentot,nl,79,41,21
calcutta,nl,3116,1539,1472
indo's,nl,1,1,1
indo,nl,9036,5140,4882
mohammedanen,nl,2,2,2
mohammedaan,nl,1,1,1
madras,nl,2233,1063,1007
moors,nl,1058,504,476
moren,nl,528,233,220
moor,nl,8162,4853,4673
gehandicapten,nl,49,48,48
gehandicapte,nl,11,10,9
koelies,nl,1,1,1
koelie,nl,1,1,1
volbloeden,nl,1,1,0
volbloed,nl,6,6,6
metis,nl,708,407,353
métis,nl,383,253,242
marrons,nl,67,62,51
marron,nl,1441,481,334
kaffers,nl,1,1,1
kaffer,nl,66,14,8
allochtoons,nl,1,0,0
allochtoner,nl,0,0,0
allochtone,nl,8,4,4
allochtonere,nl,0,0,0
allochtoonst,nl,0,0,0
allochtoonste,nl,0,0,0
allochtonen,nl,3,2,2
allochtoon,nl,4,4,3
tweede wereld,nl,2,2,2
wits,nl,311,137,119
witten,nl,2212,784,759
witte,nl,12047,2927,2303
witter,nl,1599,180,166
wittere,nl,1,1,1
witst,nl,0,0,0
witste,nl,1,1,1
wit,nl,29778,22490,22287
inheemsere,nl,0,0,0
inheemste,nl,0,0,0
inheemse,nl,104,94,86
inheemst,nl,0,0,0
inheemser,nl,0,0,0
inheems,nl,47,46,41
transen,nl,6,6,5
trans,nl,44904,13556,8959
