lemma,term,lang,n_e_retrieved
westers,westerse,nl,81
westers,westerser,nl,0
westers,wester,nl,841
westers,westerste,nl,0
westers,westerst,nl,0
westers,westers,nl,19
etniciteit,etniciteiten,nl,0
etniciteit,etniciteit,nl,16
homoseksualiteit,homoseksualiteit,nl,30
neger,negers,nl,11
neger,neger,nl,118
bediende,bedienden,nl,15
bediende,bediendes,nl,0
bediende,bediend,nl,10
bediende,bediende,nl,206
hermafrodiet,hermafrodieten,nl,0
hermafrodiet,hermafrodiet,nl,5
inuk,inuit,nl,557
inuk,inuk,nl,59
indiaan,indiaans,nl,10
indiaan,indianen,nl,44
indiaan,indiaan,nl,9174
afkomst,afkomsten,nl,0
afkomst,afkomst,nl,141
blank,blankst,nl,0
blank,blanke,nl,175
blank,blankste,nl,0
blank,blankere,nl,0
blank,blanker,nl,20
blank,blanks,nl,109
blank,blanken,nl,73
blank,blank,nl,3814
bombay,bombay,nl,1405
knecht,knechten,nl,8
knecht,knechts,nl,13
knecht,knecht,nl,322
jappenkamp,jappenkampen,nl,2
jappenkamp,jappenkamp,nl,6
homoseksueel,homoseksueels,nl,0
homoseksueel,homoseksuelen,nl,7
homoseksueel,homoseksueelst,nl,0
homoseksueel,homoseksueelste,nl,0
homoseksueel,homoseksueler,nl,0
homoseksueel,homoseksuelere,nl,0
homoseksueel,homoseksuele,nl,10
homoseksueel,homoseksueel,nl,10
stam,stammen,nl,149
stam,stam,nl,473
oriëntaals,oriëntaal,nl,0
oriëntaals,oriëntaalsere,nl,0
oriëntaals,oriëntaler,nl,0
oriëntaals,oriëntaalste,nl,0
oriëntaals,oriëntaalser,nl,0
oriëntaals,oriëntale,nl,1
oriëntaals,oriëntalere,nl,0
oriëntaals,oriëntaalse,nl,6
oriëntaals,oriëntaalst,nl,0
oriëntaals,oriëntaals,nl,14
batavia,batavia,nl,561
halfbloed,halfbloeden,nl,0
halfbloed,halfbloed,nl,4
boslandcreool,boslandcreolen,nl,0
boslandcreool,boslandcreool,nl,1
queer,queer,nl,928
zigeuner,zigeuners,nl,21
zigeuner,zigeuner,nl,80
bosneger,bosnegers,nl,1
bosneger,bosneger,nl,1
ontwikkelingsland,ontwikkelingslanden,nl,13
ontwikkelingsland,ontwikkelingsland,nl,3
zwart,zwartste,nl,0
zwart,zwarten,nl,8
zwart,zwartst,nl,0
zwart,zwartere,nl,0
zwart,zwarte,nl,907
zwart,zwarter,nl,1
zwart,zwarts,nl,25
zwart,zwart,nl,649
