lemma,term,lang,wd_prefLabel,wd_aliases,wd_description,total
gay,gaye,nl,14,5,111,130
gay,gayer,nl,7,0,0,7
gay,gayst,nl,0,0,0,0
gay,gays,nl,16,0,6,22
gay,gayste,nl,0,0,0,0
gay,gay,nl,262,30,124,416
baboe,baboes,nl,0,0,0,0
baboe,baboe,nl,2,1,0,3
indisch,indische,nl,249,74,112,435
indisch,indischere,nl,0,0,0,0
indisch,indischer,nl,1,0,0,1
indisch,indisch,nl,70,37,31,138
berber,berbers,nl,8,0,1,9
berber,berber,nl,18,2,0,20
pygmee,pygmeeën,nl,3,0,1,4
pygmee,pygmee,nl,0,1,0,1
gekleurd,gekleurdste,nl,0,0,0,0
gekleurd,gekleurde,nl,9,0,9,18
gekleurd,gekleurdst,nl,0,0,0,0
gekleurd,gekleurder,nl,0,0,0,0
gekleurd,gekleurds,nl,0,0,0,0
gekleurd,gekleurdere,nl,0,0,0,0
gekleurd,gekleurd,nl,3,0,6,9
roots,roots,nl,164,7,62,233
kaukasisch,kaukasischer,nl,0,0,0,0
kaukasisch,kaukasischere,nl,0,0,0,0
kaukasisch,kaukasische,nl,18,12,2,32
kaukasisch,kaukasisch,nl,6,4,45,55
achterlijk,achterlijkst,nl,0,0,0,0
achterlijk,achterlijkste,nl,0,0,0,0
achterlijk,achterlijker,nl,0,0,0,0
achterlijk,achterlijkheid,nl,0,0,0,0
achterlijk,achterlijkere,nl,0,0,0,0
achterlijk,achterlijken,nl,0,0,0,0
achterlijk,achterlijke,nl,0,0,0,0
achterlijk,achterlijks,nl,0,0,0,0
achterlijk,achterlijk,nl,1,0,0,1
mulat,mulatten,nl,1,1,0,2
mulat,mulat,nl,7,1,0,8
ras,rast,nl,31,1,0,32
ras,rassere,nl,0,0,0,0
ras,rassen,nl,10,4,5,19
ras,rasse,nl,5,0,0,5
ras,rasser,nl,2,0,0,2
ras,raste,nl,1,0,0,1
ras,ras,nl,542,38,83,663
etnische groep,etnische groepen,nl,3,0,1,4
etnische groep,etnische groep,nl,4,1,9240,9245
eerste wereld,eerste wereld,nl,1,0,0,1
aboriginal,aboriginals,nl,1,2,3,6
aboriginal,aboriginal,nl,44,5,8,57
travestiet,travestieten,nl,0,0,0,0
travestiet,travestiet,nl,0,1,3,4
barbaar,barbaren,nl,3,1,0,4
barbaar,barbaar,nl,5,0,0,5
derde wereld,derde wereld,nl,5,0,0,5
slaaf,slaven,nl,29,2,9,40
slaaf,slaaf,nl,14,5,26,45
primitivisme,primitivismen,nl,0,0,0,0
primitivisme,primitivisme,nl,1,1,0,2
eskimo,eskimo's,nl,3,0,1,4
eskimo,eskimo,nl,62,5,28,95
page,pages,nl,41,51,8,100
page,page,nl,13,8,2,23
zuid-rhodesië,zuid-rhodesië,nl,11,0,6,17
inboorling,inboorlingen,nl,0,0,0,0
inboorling,inboorling,nl,1,0,0,1
hottentot,hottentotten,nl,0,1,0,1
hottentot,hottentot,nl,0,1,0,1
calcutta,calcutta,nl,129,47,269,445
indo,indo's,nl,0,1,0,1
indo,indo,nl,71,21,66,158
mohammedaan,mohammedanen,nl,1,1,0,2
mohammedaan,mohammedaan,nl,0,1,0,1
madras,madras,nl,63,3,61,127
moor,moors,nl,38,2,19,59
moor,moren,nl,9,7,4,20
moor,moor,nl,498,30,116,644
gehandicapte,gehandicapten,nl,17,1,28,46
gehandicapte,gehandicapte,nl,3,4,3,10
koelie,koelies,nl,1,0,0,1
