,lemma,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
3735,berber,berber,300263740.0,"['name', 'living', 'berber', 'people', 'warsenis', 'style', 'northwestern', 'ouarsenis', 'culture', 'algeria']",0.85847385432991,0.7006455389271612,0.8504279775973788
3739,berber,berber,300263729.0,"['people', 'chleuh', 'style', 'chleuhs', 'tachilhit', 'well', 'schluh', 'culture', 'western', 'mountain', 'anti', 'shluh', 'tashilheet', 'susiua', 'atlas', 'susi', 'sou', 'tachelhit', 'name', 'living', 'dra', 'morocco', 'shilha', 'tashelhit', 'tashilhait', 'region', 'shilhas', 'tashilhit', 'tasoussit', 'tashelhiyt', 'algeria', 'shlûh', 'berber', 'shluhs', 'high']",0.8559895527685256,0.7528266326656159,0.8725675425993198
3732,berber,berber,300263738.0,"['mzabi', 'people', 'style', 'culture', 'primarily', 'beni', 'ghardaia', 'mzab', 'gurara', 'mozabites', 'name', 'living', 'saharan', 'berriane', 'town', 'zab', 'berber', 'mzâb', 'mzabite', 'algerian']",0.8518762066817992,0.6998016302445481,0.8467388964735035
5555,black,black,300435249.0,"['including', 'people', 'style', 'culture', 'aboriginal', 'heritage', 'ethnicity', 'designation', 'black', 'african', 'saharan', 'group', 'general', 'descent', 'race', 'place', 'skinned', 'australian', 'africa', 'dark', 'sub', 'outside', 'member', 'origin']",0.9597128811270706,0.8629436651865371,0.957268334559482
5933,black,black,300443479.0,"['non', 'people', 'regard', 'ethnic', 'skin', 'united', 'discrimination', 'perhaps', 'trope', 'primarily', 'affected', 'oceania', 'actual', 'ethnicity', 'america', 'based', 'black', 'anglo', 'broad', 'australia', 'widely', 'portion', 'refers', 'group', 'state', 'descendant', 'race', 'perceived', 'native', 'bipoc', 'meant', 'indigenous', 'skinned', 'used', 'without', 'term', 'inclusive', 'oppression', 'africa', 'dark', 'describe', 'saxon', 'color', 'racism', 'tone']",0.9511831314914686,0.8634023269392278,0.9529173031438304
5321,black,black,300449148.0,"['either', 'official', 'style', 'culture', 'self', 'ethnicity', 'designation', 'citizen', 'black', 'caribbean', 'african', 'entry', 'one', 'descent', 'classification', 'used', 'british', 'resident', 'origin', 'various']",0.9401079272218426,0.8509454177233808,0.9418770295736648
5160,black,blacks,300198715.0,"['position', 'including', 'people', 'also', 'united', 'colonist', 'louisiana', 'nearby', 'century', 'line', 'source', 'america', 'amerindian', 'black', 'brought', 'parent', 'early', 'french', 'state', 'population', 'slave', 'old', 'africa', 'island', 'naturalized', 'element', 'contradictory', 'often', 'north', 'context', 'social', 'either', 'style', 'europe', 'tradition', 'créole', 'culture', 'criollo', 'indie', 'latin', 'family', 'directly', 'may', 'different', 'caribbean', 'territory', 'african', 'european', 'predominantly', 'extraction', 'general', 'descendant', 'patois', 'modern', 'term', 'spain', 'resident', 'specifically', 'south', 'refer', 'aboriginal', 'asian', 'produced', 'usually', 'sixteenth', 'settler', 'locally', 'white', 'used', 'form', 'mulatto', 'creole', 'eighteenth', 'pure', 'descended', 'distinguished', 'west', 'born', 'usage', 'refers', 'arrived', 'descent', 'region', 'spanish', 'american', 'speaking']",0.930995555856066,0.8378500650333516,0.9332413820765584
5614,black,black,300021925.0,"['buka', 'animal', 'suited', 'lapita', 'known', 'ideally', 'material', 'people', 'jaw', 'often', 'encounter', 'also', 'style', 'culture', 'century', 'outward', 'related', 'change', 'result', 'work', 'black', 'whale', 'however', 'stained', 'paddle', 'found', 'hunter', 'promoting', 'pigment', 'pattern', 'art', 'late', 'represent', 'surface', 'white', 'red', 'pacific', 'inlaid', 'fashion', 'head', 'inhabitant', 'describes', 'like', 'production', 'pottery', 'canine', 'varied', 'human', 'form', 'enhanced', 'protruded', 'naturalistic', 'island', 'outside', 'origin', 'world', 'islander', 'constructed']",0.9242584187280378,0.7796118020145798,0.9221670895315368
5240,black,black,300262593.0,"['animal', 'songye', 'often', 'including', 'people', 'spirit', 'female', 'new', 'ritual', 'rank', 'impose', 'distinguished', 'burial', 'crest', 'existing', 'chief', 'black', 'mask', 'feature', 'wooden', 'among', 'carved', 'white', 'red', 'bifwebe', 'discipline', 'facial', 'used', 'embody', 'circumcised', 'human', 'form', 'kifwebe', 'democratic', 'africa', 'republic', 'male', 'consecration', 'type', 'congo', 'stripe', 'attribute', 'prominent']",0.9235108862785092,0.8096715324043408,0.9211356566688929
6096,black,black,300400853.0,"['people', 'even', 'north', 'europe', 'belief', 'germanic', 'complex', 'time', 'culture', 'played', 'extended', 'concerning', 'continent', 'nature', 'black', 'religion', 'civilization', 'greenland', 'christianity', 'sea', 'developed', 'important', 'cosmos', 'american', 'conversion', 'shaping', 'god', 'role', 'speaking', 'various']",0.921289806062482,0.7803732891741431,0.9178300051651324
