,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
3747,berber,300375152.0,"['people', 'style', 'proper', 'culture', 'mauri', 'western', 'part', 'refer', 'mali', 'maures', 'islamic', 'use', 'mauritanian', 'arab', 'living', 'within', 'morocco', 'descent', 'mixed', 'mauritania', 'product', 'algeria', 'moor', 'berber', 'inhabiting', 'republic', 'neighboring', 'boundary', 'sahara', 'maure']",0.8650299945603881,0.812272880643265,0.9093356423898354
3724,berber,300263734.0,"['people', 'style', 'culture', 'time', 'century', 'become', 'name', 'sixteenth', 'group', 'iberian', 'canary', 'guanchen', 'guanches', 'since', 'modern', 'berber', 'assimilated', 'island', 'distinct', 'lived', 'exist', 'guantschen', 'guanche', 'world']",0.8277388373123526,0.7922083085942455,0.8840330598288789
3719,berber,300264583.0,"['living', 'zaer', 'berber', 'people', 'atlas', 'tamazight', 'work', 'middle', 'describes', 'region', 'subgroup', 'created']",0.8179530956536876,0.7729514507809221,0.8673068113885006
3737,berber,300266586.0,"['distinctive', 'berber', 'structure', 'refuge', 'fortified', 'settlement', 'typically', 'tighremts', 'communal', 'tighremt', 'collective', 'bin', 'storage', 'used']",0.7009486010538043,0.7718606084633194,0.7982149798177489
3706,berber,300264436.0,"['hadiddou', 'name', 'living', 'berber', 'people', 'atlas', 'high', 'work', 'describes', 'ait', 'mountain', 'african', 'subgroup', 'created']",0.7808226237415727,0.7706432108886234,0.847059377519527
3715,berber,300265332.0,"['refers', 'chenini', 'living', 'berber', 'people', 'southern', 'tunisia', 'work', 'produced']",0.7959004253152727,0.7658338217873952,0.8458214622752144
3705,berbers,300114633.0,"['traditionally', 'algiers', 'also', 'exterior', 'vault', 'imaginative', 'decorative', 'founded', 'connection', 'built', 'ornamental', 'rectangular', 'influence', 'architecture', 'architectural', 'berber', 'africa', 'felt', 'controlled', 'north', 'internal', 'powerful', 'culture', 'instead', 'suspended', 'part', 'animate', 'apart', 'leader', 'three', 'fountain', 'building', 'create', 'almohad', 'fervor', 'african', 'succeeded', 'muqarnas', 'dome', 'applied', 'developed', 'maghribi', 'associated', 'noted', 'spain', 'arch', 'known', 'appealed', 'space', 'almoravides', 'lobed', 'yusuf', 'hallmark', 'mostly', 'transplanted', 'mosque', 'umayyad', 'rhythm', 'islamic', 'egyptian', 'noteworthy', 'configuration', 'architect', 'distinctively', 'ceiling', 'marrakesh', 'great', 'fès', 'form', 'inspired', 'kept', 'puritanical', 'decoration', 'manipulation', 'visually', 'almoravid', 'tilimsen', 'western', 'crinkled', 'sculptural', 'religious', 'patron', 'córdoba', 'rather', 'refers', 'tashfin', 'art', 'dynasty', 'dimensional', 'nothing', 'act', 'movement', 'ruled', 'reveals', 'andalusia', 'traditional', 'using']",0.7784099120497101,0.8305551113492222,0.8765857448674296
3703,berbers,300265329.0,"['shluh', 'refers', 'soussi', 'berber', 'morocco', 'ishilhayen', 'susiua', 'sousis', 'isusiyen', 'atlas', 'style', 'work', 'susi', 'swasa', 'western', 'sou', 'tasousit', 'produced']",0.7246908056518114,0.6980701162146423,0.7661012941825921
3704,berbers,300016593.0,"['berber', 'culture', 'style']",0.7068981100241483,0.5451994043955609,0.6925920534236629
5933,black,300443479.0,"['non', 'people', 'regard', 'ethnic', 'skin', 'united', 'discrimination', 'perhaps', 'trope', 'primarily', 'affected', 'oceania', 'actual', 'ethnicity', 'america', 'based', 'black', 'anglo', 'broad', 'australia', 'widely', 'portion', 'refers', 'group', 'state', 'descendant', 'race', 'perceived', 'native', 'bipoc', 'meant', 'indigenous', 'skinned', 'used', 'without', 'term', 'inclusive', 'oppression', 'africa', 'dark', 'describe', 'saxon', 'color', 'racism', 'tone']",0.9511831314914686,0.8634023269392278,0.9529173031438304
5555,black,300435249.0,"['including', 'people', 'style', 'culture', 'aboriginal', 'heritage', 'ethnicity', 'designation', 'black', 'african', 'saharan', 'group', 'general', 'descent', 'race', 'place', 'skinned', 'australian', 'africa', 'dark', 'sub', 'outside', 'member', 'origin']",0.9597128811270706,0.8629436651865371,0.957268334559482
5321,black,300449148.0,"['either', 'official', 'style', 'culture', 'self', 'ethnicity', 'designation', 'citizen', 'black', 'caribbean', 'african', 'entry', 'one', 'descent', 'classification', 'used', 'british', 'resident', 'origin', 'various']",0.9401079272218426,0.8509454177233808,0.9418770295736648
5331,black,300262962.0,"['german', 'style', 'cajun', 'captured', 'culture', 'acadia', 'cajian', 'derived', 'driven', 'louisiana', 'defines', 'produced', 'century', 'distinctive', 'nova', 'characteristic', 'cajen', 'centered', 'canadian', 'work', 'indian', 'black', 'use', 'immigrant', 'english', 'refers', 'french', 'one', 'southern', 'comprises', 'cajan', 'patois', 'spanish', 'colony', 'british', 'scotia', 'american', 'bayou', 'word', 'archaic', 'descendent', 'idiom', 'cagian', 'land']",0.8862831648451819,0.8327240649759565,0.8930651283099483
6077,black,300015881.0,"['faso', 'people', 'style', 'culture', 'gorise', 'gurinse', 'grussi', 'referred', 'jaman', 'gurense', 'black', 'grunshi', 'african', 'river', 'grunsi', 'name', 'living', 'volta', 'gruinse', 'group', 'gourounsi', 'gurenne', 'red', 'burkina', 'collective', 'gurunsi', 'grusi', 'gourounsis']",0.896620593902535,0.8241416161071267,0.8984563805287346
5169,black,300311322.0,"['owner', 'wealth', 'stereotypically', 'garishly', 'colonial', 'latin', 'dandy', 'usually', 'distinctive', 'image', 'america', 'black', 'character', 'depicted', 'drove', 'ornamentation', 'coachman', 'extravagant', 'caleseros', 'dressed', 'cuba', 'portrayed', 'men', 'slave', 'calesas', 'carriage', 'calesero', 'period', 'indication', 'uniform']",0.8815117280018391,0.8224398765472154,0.8885948126757399
5384,black,300018125.0,"['social', 'north', 'prejudice', 'whole', 'style', 'rebellion', 'culture', 'experience', 'triumph', 'personal', 'afro', 'heritage', 'essence', 'america', 'negro', 'music', 'black', 'african', 'designates', 'contributed', 'literature', 'art', 'descent', 'adversity', 'american', 'enriched', 'political', 'capture']",0.899773655252828,0.8163140845205153,0.8999486450684113
6057,black,300386963.0,"['people', 'chinese', 'stretching', 'style', 'culture', 'mongolia', 'century', 'language', 'northern', 'connected', 'tujue', 'empire', 'ethnicity', 'founded', 'black', 'frontier', 'name', 'whose', 'speak', 'sea', 'historically', 'turkic', 'member', 'nomadic', 'china', 'given', 'various']",0.9104066314910152,0.81309106347553,0.9118241277971544
5914,black,300015878.0,"['faso', 'boua', 'people', 'style', 'oule', 'culture', 'produced', 'bwaba', 'ule', 'work', 'black', 'african', 'name', 'living', 'wule', 'tara', 'bobo', 'red', 'burkina', 'bwa', 'used', 'term', 'bwamu', 'describe', 'bua']",0.8760805576495966,0.8119364877391212,0.8805608057477184
5826,black,300082545.0,"['faso', 'name', 'living', 'madere', 'people', 'bobo', 'bwanu', 'bwaba', 'style', 'northwestern', 'bobofing', 'burkina', 'black', 'culture', 'fing', 'african', 'sia', 'mali']",0.8676325581931574,0.8099838016518071,0.8691216994432347
5161,blacker,,,,,
5162,blackest,,,,,
5160,blacks,300198715.0,"['position', 'including', 'people', 'also', 'united', 'colonist', 'louisiana', 'nearby', 'century', 'line', 'source', 'america', 'amerindian', 'black', 'brought', 'parent', 'early', 'french', 'state', 'population', 'slave', 'old', 'africa', 'island', 'naturalized', 'element', 'contradictory', 'often', 'north', 'context', 'social', 'either', 'style', 'europe', 'tradition', 'créole', 'culture', 'criollo', 'indie', 'latin', 'family', 'directly', 'may', 'different', 'caribbean', 'territory', 'african', 'european', 'predominantly', 'extraction', 'general', 'descendant', 'patois', 'modern', 'term', 'spain', 'resident', 'specifically', 'south', 'refer', 'aboriginal', 'asian', 'produced', 'usually', 'sixteenth', 'settler', 'locally', 'white', 'used', 'form', 'mulatto', 'creole', 'eighteenth', 'pure', 'descended', 'distinguished', 'west', 'born', 'usage', 'refers', 'arrived', 'descent', 'region', 'spanish', 'american', 'speaking']",0.930995555856066,0.8378500650333516,0.9332413820765584
5157,blacks,300265434.0,"['usually', 'range', 'including', 'image', 'print', 'white', 'photographic', 'black', 'color', 'gray', 'television', 'monochromatic', 'example']",0.7703012357447613,0.7186915840884847,0.775918315670095
